	rt	mkt	smb 	hml
199101	-2.54	4.69	3.86	-1.84
199102	-11.33	7.19	3.96	-0.54
199103	0.64	2.65	3.82	-1.23
199104	0.17	-0.28	0.33	1.42
199105	2.56	3.65	0.17	-0.57
199106	-0.44	-4.94	0.17	1.21
199107	5.93	4.24	-0.96	-1.25
199108	0.13	2.32	1.44	-0.78
199109	6.98	-1.59	1.55	-1
199110	3.15	1.29	0.95	-0.43
199111	3.02	-4.19	-0.87	-1.93
199112	15.13	10.84	-2.42	-4.03
199201	-3.34	-0.59	9.26	4.51
199202	-1.03	1.09	1.35	6.37
199203	1.33	-2.66	-0.9	3.65
199204	-2.91	1.07	-5.73	4.31
199205	-1.16	0.3	0.21	1.28
199206	1.57	-2.34	-2.71	3.4
199207	1.49	3.77	-0.61	-0.53
199208	-1.04	-2.38	-0.42	-1.03
199209	4.51	1.19	0.48	-0.21
199210	2.98	1.02	2.02	-2.1
199211	0.76	4.13	3.91	-1.48
199212	7.6	1.53	1.64	2.52
199301	5	0.93	2.09	5.87
199302	1.66	0.12	-3.42	6.42
199303	7.58	2.3	0.05	1.22
199304	2.68	-3.05	-0.86	2.61
199305	2.5	2.89	1.88	-3.41
199306	5.9	0.31	0.11	2.62
199307	6.27	-0.34	0.9	3.24
199308	5.64	3.71	0.25	-0.45
199309	7.9	-0.12	3.07	-0.45
199310	-8.64	1.41	1.61	-1.54
199311	-9.22	-1.89	-1.43	-0.27
199312	2.3	1.65	1.36	0.57
199401	-1.88	2.87	-0.15	2.09
199402	0.36	-2.55	2.65	-1.44
199403	-0.59	-4.78	-1.02	1.31
199404	1.79	0.68	-1.05	1.68
199405	-3.81	0.58	-2.47	0.2
199406	-1.77	-3.03	-0.52	1.7
199407	-0.51	2.82	-1.84	0.59
199408	3.11	4.01	1.28	-2.82
199409	2.03	-2.31	2.66	-1.9
199410	3.43	1.34	-2.29	-1.73
199411	-2.13	-4.04	0.12	-0.94
199412	3.67	0.86	-0.02	0.55
199501	-3.51	1.8	-2.76	0.83
199502	1.05	3.63	-0.55	1.08
199503	3.6	2.19	-0.73	-1.07
199504	1.97	2.11	-0.34	2.26
199505	0.56	2.9	-2.06	1.69
199506	0.17	2.72	2.95	-2.27
199507	0.96	3.72	2.1	-1.68
199508	-0.51	0.55	1.84	2.71
199509	4.91	3.35	-1.88	-0.76
199510	7.08	-1.52	-4.04	-0.75
199511	-3.61	3.96	-1.17	0.94
199512	1.07	1.03	0.67	0.86
199601	2.48	2.26	-2.59	0.3
199602	-0.91	1.33	1.82	-1.42
199603	-3.9	0.73	1.54	1
199604	-3.9	2.06	4.64	-3.9
199605	4.05	2.36	3.17	-1.2
199606	2.77	-1.14	-3.47	1.56
199607	0.57	-5.97	-3.68	4.45
199608	1.26	2.77	2.54	-0.46
199609	2.86	5.01	-1.32	-3.14
199610	6.79	0.86	-3.89	5.12
199611	-10.27	6.25	-3.79	1.16
199612	0.13	-1.7	3.22	0.9
199701	6.01	4.98	-1.82	-1.64
199702	-3.89	-0.49	-2.52	5.19
199703	3.41	-5.02	-0.48	3.81
199704	11.84	4.04	-5.74	-0.07
199705	-11.36	6.74	4.65	-3.87
199706	3.07	4.1	1.26	1.23
199707	11.12	7.33	-2.83	0.84
199708	-4.23	-4.15	7.66	1.38
199709	2.82	5.35	2.56	0.02
199710	-1.88	-3.8	-0.5	1.96
199711	2.97	2.98	-5.03	0.78
199712	4.3	1.32	-2.01	3.46
199801	2.57	0.15	-1.4	-1.45
199802	1.39	7.04	-0.02	-0.13
199803	1.99	4.76	-0.66	1.06
199804	0.87	0.73	-0.01	0.74
199805	5.12	-3.07	-3.11	4.16
199806	13.28	3.18	-3.67	-2.32
199807	8.15	-2.46	-5.32	-0.97
199808	4.84	-16.08	-5.01	3.41
199809	-5.48	6.15	-0.82	-3.31
199810	-9.08	7.13	-3.53	-2.2
199811	3.99	6.1	0.65	-3.14
199812	14	6.16	-1.5	-4.46
199901	6.87	3.5	-0.75	-4.03
199902	2.27	-4.08	-5.15	1.4
199903	-4.92	3.45	-4.3	-2.64
199904	-18.7	4.33	4.65	2.51
199905	-10.16	-2.46	3.73	2.4
199906	7.14	4.77	2.26	-3.59
199907	2.31	-3.49	2.53	-0.76
199908	6.32	-1.38	-1.93	-1.31
199909	6.55	-2.79	2.56	-3.4
199910	10.16	6.12	-7.08	-2.88
199911	7.61	3.37	5.9	-6.51
199912	22.14	7.72	5.41	-8.74
200001	1.68	-4.74	4.16	-0.29
200002	26.15	2.45	18.32	-9.93
200003	-9.32	5.2	-14.91	7.37
200004	-6.53	-6.4	-5.55	8.61
200005	-12.64	-4.42	-3.67	2.56
200006	18.39	4.64	10.39	-9.86
200007	1.46	-2.51	-0.97	8.14
200008	7.16	7.03	-1.1	-0.68
200009	0.77	-5.45	0.21	6.24
200010	0.56	-2.76	-2.8	5.52
200011	-0.81	-10.72	-0.46	11.3
200012	16.75	1.19	3.16	7.33
200101	-42.03	3.13	5.81	-4.9
200102	15.54	-10.05	2.66	12.9
