state	year	so2	pcinc
13	47	0.06334	4294.089
13	48	0.06313	4564.815
13	49	0.05198	4493.023
13	50	0.05464	4831.818
13	51	0.05115	5154.506
13	52	0.0577	5357.143
13	53	0.05635	5558.824
13	54	0.06453	5341.564
13	55	0.05596	5744.939
13	56	0.05355	5928.571
13	57	0.05396	5838.462
13	58	0.05684	5962.121
13	59	0.05558	6129.63
13	60	0.05278	6149.091
13	61	0.04988	6267.148
13	62	0.05448	6489.362
13	63	0.06107	6800.699
13	64	0.06664	7099.656
13	65	0.07512	7555.556
13	66	0.0822	7996.732
13	67	0.0799	8414.013
13	68	0.08493	8779.817
13	69	0.08599	9237.537
13	70	0.08855	9474.719
13	71	0.09475	9673.797
13	72	0.11515	10306.7
13	73	0.16275	10851.22
13	74	0.13453	10663.72
13	75	0.12472	10435.58
13	76	0.12852	10866.8
13	77	0.12934	11064.98
13	78	0.13167	11597.64
13	79	0.14519	11768.16
13	80	0.142	11698.88
13	81	0.2138	11937.02
13	82	0.19879	12023.11
13	83	0.19097	12418.79
13	84	0.19523	13364.96
13	85	0.18908	13817.4
13	86	0.17409	14372.92
13	87	0.16691	14545
13	88	0.16033	14860.84
13	89	0.14838	14867.34
13	90	0.15243	14902.52
13	91	0.1377	14741.02
13	92	0.1336	14976.52
13	93	0.119	15200.63
13	94	0.11239	15621.04
16	29	0.19018	3595.989
16	30	0.18347	3681.481
16	31	0.16737	3052.805
16	32	0.15468	2530.459
16	33	0.14653	2195.122
16	34	0.14376	3560.538
16	35	0.13723	3446.771
16	36	0.14749	4049.871
16	37	0.15583	3488.372
16	38	0.15984	3552.743
16	39	0.1708	3657.917
16	40	0.17885	4272.575
16	41	0.18757	4584.305
16	42	0.1974	6407.355
16	43	0.1939	6593.121
16	44	0.18198	6728.51
16	45	0.18009	6720.334
16	46	0.17075	6452.484
16	47	0.18956	6204.201
16	48	0.19048	6208.333
16	49	0.17827	5920.93
16	50	0.18786	6036.364
16	51	0.19789	6412.017
16	52	0.17614	6882.353
16	53	0.17952	6495.798
16	54	0.1498	6386.831
16	55	0.1696	6429.15
16	56	0.14967	6813.492
16	57	0.13454	6819.231
16	58	0.11417	6863.636
16	59	0.10092	6992.593
16	60	0.08784	6880
16	61	0.1078	7104.693
16	62	0.12925	7382.979
16	63	0.15386	7541.958
16	64	0.17883	7683.849
16	65	0.19981	8552.189
16	66	0.16416	8411.765
16	67	0.13974	8745.223
16	68	0.10701	8840.979
16	69	0.0773	9360.704
16	70	0.04762	9724.719
16	71	0.04625	9836.898
16	72	0.04672	10435.57
16	73	0.04965	11243.9
16	74	0.04102	11615.04
16	75	0.03535	11098.16
16	76	0.03015	11521.24
16	77	0.02492	11413.36
16	78	0.03576	11956.23
16	79	0.03343	11846.99
16	80	0.0281	11810.92
16	81	0.04013	11697.94
16	82	0.0374	11302.92
16	83	0.03613	11684.45
16	84	0.03728	11877.23
16	85	0.03679	11929.11
16	86	0.03468	12031.25
16	87	0.03541	12028
16	88	0.03763	12332.05
16	89	0.0369	13102.47
16	90	0.03642	13316.8
16	91	0.035	13229.74
16	92	0.03561	13552.23
16	93	0.03344	13994.47
16	94	0.03259	14235.11
17	29	0.39803	6704.871
17	30	0.35849	5903.704
17	31	0.3028	5453.795
17	32	0.25905	4489.222
17	33	0.26439	4195.122
17	34	0.27985	4457.399
17	35	0.28616	4938.918
17	36	0.31776	5520.206
17	37	0.33197	5996.678
17	38	0.27331	5383.966
17	39	0.29754	5876.376
17	40	0.32269	6576.087
17	41	0.37455	6829.837
17	42	0.41593	7241.867
17	43	0.48365	8072.68
17	44	0.4892	8497.217
17	45	0.47223	8658.318
17	46	0.37898	8201.944
17	47	0.43582	7923.791
17	48	0.39235	8328.704
17	49	0.31027	7772.093
17	50	0.32207	8259.091
17	51	0.32577	8639.485
17	52	0.2955	8731.092
17	53	0.29416	9231.092
17	54	0.25917	8917.695
17	55	0.27619	9149.798
17	56	0.28387	9686.508
17	57	0.26181	9653.846
17	58	0.22575	9469.697
17	59	0.22122	9755.556
17	60	0.22633	9767.273
17	61	0.22131	10018.05
17	62	0.22187	10230.5
17	63	0.22645	10367.13
17	64	0.23063	10704.47
17	65	0.23728	11279.46
17	66	0.23644	11728.76
17	67	0.23291	12047.77
17	68	0.23407	12354.74
17	69	0.23365	12733.14
17	70	0.23316	12808.99
17	71	0.21682	12970.59
17	72	0.21223	13479.38
17	73	0.19647	14290.24
17	74	0.19949	14170.35
17	75	0.18782	14118.61
17	76	0.17101	14540.54
17	77	0.15854	14938.63
17	78	0.14825	15393.94
17	79	0.13926	15576.51
17	80	0.13145	15231.09
17	81	0.12946	15483.29
17	82	0.12234	15248.18
17	83	0.11931	15155.45
17	84	0.1242	15962.05
17	85	0.12306	16193.34
17	86	0.12153	16556.25
17	87	0.10815	16681
17	88	0.11211	17010.56
17	89	0.10672	17448.31
17	90	0.11066	17544.82
17	91	0.10553	17227.23
17	92	0.10462	17629.96
17	93	0.09924	17798.58
17	94	0.10105	18257.54
18	29	0.44488	4305.158
18	30	0.39363	3762.963
18	31	0.32632	3564.356
18	32	0.27309	2858.482
18	33	0.28054	2829.268
18	34	0.29798	3174.888
18	35	0.30645	3630.017
18	36	0.33695	4092.863
18	37	0.34858	4493.355
18	38	0.29236	3932.489
18	39	0.31467	4335.309
18	40	0.33568	5133.779
18	41	0.38321	5563.326
18	42	0.42054	6400.283
18	43	0.47934	7313.433
18	44	0.48488	7353.123
18	45	0.46759	7406.082
18	46	0.37248	6447.084
18	47	0.42577	6360.528
18	48	0.38569	6708.333
18	49	0.3033	6306.977
18	50	0.31692	6909.091
18	51	0.30328	7321.888
18	52	0.3034	7445.378
18	53	0.29807	8142.857
18	54	0.29777	7415.638
18	55	0.28333	7700.405
18	56	0.275	7948.413
18	57	0.27776	7838.462
18	58	0.29981	7613.636
18	59	0.29704	7877.778
18	60	0.28491	8003.636
18	61	0.27406	8075.812
18	62	0.28413	8460.993
18	63	0.29748	8650.35
18	64	0.31171	8945.017
18	65	0.32917	9575.758
18	66	0.36595	9898.693
18	67	0.34597	10006.37
18	68	0.37006	10351.68
18	69	0.37248	10785.92
18	70	0.3811	10575.84
18	71	0.37038	10836.9
18	72	0.38552	11319.59
18	73	0.4106	12273.17
18	74	0.38808	11838.5
18	75	0.36599	11717.79
18	76	0.3829	12366.8
18	77	0.38342	12756.32
18	78	0.32486	13222.22
18	79	0.35677	13336.94
18	80	0.36006	12906.16
18	81	0.39863	12973.01
18	82	0.37692	12644.77
18	83	0.36829	12661.25
18	84	0.38291	13416.29
18	85	0.37893	13572.5
18	86	0.35082	13925
18	87	0.35263	14063
18	88	0.35253	14309.98
18	89	0.36072	14612.99
18	90	0.35702	14635.34
18	91	0.33682	14441.1
18	92	0.29402	14912.55
18	93	0.30137	15180.88
18	94	0.30485	15670.53
19	29	0.3041	4104.585
19	30	0.25862	3725.926
19	31	0.20746	3250.825
19	32	0.16794	2736.645
19	33	0.17393	2429.268
19	34	0.18845	2376.682
19	35	0.19455	3656.195
19	36	0.20728	3336.199
19	37	0.21299	4285.714
19	38	0.19245	3814.346
19	39	0.19917	3962.743
19	40	0.20393	4469.064
19	41	0.23507	4669.775
19	42	0.26175	5841.584
19	43	0.3007	6580.143
19	44	0.30691	6147.186
19	45	0.2949	6451.998
19	46	0.24204	6663.067
19	47	0.27402	5886.663
19	48	0.25172	7583.333
19	49	0.20642	6293.023
19	50	0.21032	6959.091
19	51	0.22831	7021.459
19	52	0.16346	7231.092
19	53	0.17227	6949.58
19	54	0.09245	7349.794
19	55	0.15573	6732.794
19	56	0.15799	6948.413
19	57	0.15003	7430.769
19	58	0.13692	7518.939
19	59	0.1351	7496.296
19	60	0.13666	7476.364
19	61	0.13413	7844.765
19	62	0.1366	8067.376
19	63	0.14147	8475.524
19	64	0.1469	8721.649
19	65	0.15284	9515.152
19	66	0.14315	9993.464
19	67	0.14401	9843.949
19	68	0.1379	10094.8
19	69	0.13603	10530.79
19	70	0.13207	10660.11
19	71	0.12285	10542.78
19	72	0.1194	11288.66
19	73	0.107	12900
19	74	0.10997	12112.83
19	75	0.10341	12364.01
19	76	0.10847	12380.31
19	77	0.10881	12781.59
19	78	0.13461	13819.87
19	79	0.11963	13669.24
19	80	0.11041	13089.64
19	81	0.09626	13646.53
19	82	0.09145	13127.74
19	83	0.0896	12772.62
19	84	0.09369	13447.54
19	85	0.09368	13506.98
19	86	0.10005	13759.38
19	87	0.10491	13936
19	88	0.10565	13754.32
19	89	0.10292	14315.65
19	90	0.10027	14520.45
19	91	0.09643	14278.2
19	92	0.09571	14791.9
19	93	0.093	14543.44
19	94	0.09016	15604.02
20	29	0.22499	3746.418
20	30	0.18483	3392.593
20	31	0.14405	3234.323
20	32	0.11259	2446.111
20	33	0.12146	2400
20	34	0.12901	2520.179
20	35	0.13463	3097.731
20	36	0.13645	3267.412
20	37	0.13795	3488.372
20	38	0.13734	3172.996
20	39	0.13923	3175.275
20	40	0.13978	3837.793
20	41	0.15487	4219.114
20	42	0.16549	5947.666
20	43	0.17492	6703.439
20	44	0.18028	7161.41
20	45	0.17996	6881.336
20	46	0.13894	6069.114
20	47	0.16928	6336.102
20	48	0.14335	6222.222
20	49	0.10067	6013.953
20	50	0.10523	6636.364
20	51	0.11524	6862.661
20	52	0.07237	7655.462
20	53	0.07814	7289.916
20	54	0.0258	7353.909
20	55	0.06628	7076.923
20	56	0.06412	7206.349
20	57	0.06112	7346.154
20	58	0.05047	7962.121
20	59	0.0493	7818.519
20	60	0.05034	7880
20	61	0.04993	8039.711
20	62	0.04766	8159.574
20	63	0.04606	8307.692
20	64	0.0452	8608.247
20	65	0.04247	9030.303
20	66	0.05096	9434.641
20	67	0.04822	9662.42
20	68	0.05343	9972.477
20	69	0.05455	10296.19
20	70	0.05685	10567.42
20	71	0.06468	10922.46
20	72	0.07637	11726.8
20	73	0.09827	12651.22
20	74	0.08371	12400.44
20	75	0.07744	12382.41
20	76	0.08299	12739.38
20	77	0.08845	12913.36
20	78	0.09733	13319.87
20	79	0.11545	14009.27
20	80	0.11294	13766.11
20	81	0.08536	14182.52
20	82	0.08	14306.57
20	83	0.07744	14143.85
20	84	0.08036	14636.16
20	85	0.07941	14873.25
20	86	0.06446	15075
20	87	0.07875	15017
20	88	0.0667	15113.24
20	89	0.05947	15003.66
20	90	0.05498	15354.22
20	91	0.04947	15247.28
20	92	0.04537	15591.9
20	93	0.04641	15703
20	94	0.04572	16057.23
21	29	0.16618	2779.37
21	30	0.15709	2377.778
21	31	0.13308	2367.987
21	32	0.11435	1949.391
21	33	0.11674	1970.732
21	34	0.12197	2062.78
21	35	0.1241	2277.487
21	36	0.13802	2502.15
21	37	0.14369	2799.003
21	38	0.11606	2472.574
21	39	0.12635	2548.688
21	40	0.1364	2888.796
21	41	0.1617	3030.303
21	42	0.18415	3769.448
21	43	0.21656	4503.569
21	44	0.22338	4712.43
21	45	0.21345	4758.497
21	46	0.17023	4433.045
21	47	0.20122	4191.5
21	48	0.18223	4592.593
21	49	0.13972	4353.488
21	50	0.14274	4490.909
21	51	0.12068	4935.622
21	52	0.19171	5180.672
21	53	0.18034	5466.387
21	54	0.26913	5283.951
21	55	0.19068	5425.101
21	56	0.1886	5674.603
21	57	0.18983	5707.692
21	58	0.19824	5818.182
21	59	0.19496	5918.519
21	60	0.18791	5901.818
21	61	0.17749	6194.946
21	62	0.1914	6393.617
21	63	0.21518	6587.413
21	64	0.23824	6694.158
21	65	0.26883	7101.01
21	66	0.35378	7513.072
21	67	0.31979	7856.688
21	68	0.37335	8180.428
21	69	0.38663	8583.578
21	70	0.41002	8814.607
21	71	0.39355	8914.439
21	72	0.40871	9402.062
21	73	0.43416	9941.463
21	74	0.40655	10035.4
21	75	0.37773	9912.065
21	76	0.37101	10355.21
21	77	0.36175	10817.69
21	78	0.37347	11196.97
21	79	0.33195	11431.22
21	80	0.30772	11275.91
21	81	0.24484	11475.58
21	82	0.23012	11400.24
21	83	0.22349	11091.65
21	84	0.23264	11781.25
21	85	0.23032	11792.7
21	86	0.22718	11958.33
21	87	0.22231	12015
21	88	0.23922	12237.04
21	89	0.27297	12585.54
21	90	0.27576	12834.64
21	91	0.26333	12889.72
21	92	0.26908	13313.36
21	93	0.28826	13338.86
21	94	0.2777	13730.09
22	29	0.14383	2915.473
22	30	0.12163	2585.185
22	31	0.09744	2574.257
22	32	0.08213	2202.437
22	33	0.10605	2156.098
22	34	0.08765	2322.87
22	35	0.09381	2469.459
22	36	0.09306	2785.899
22	37	0.09217	2873.754
22	38	0.09102	2869.198
22	39	0.0891	2980.525
